state,total_income
CA,3399586966.0586
TX,2009629290.0952
NY,1773392122.1021
FL,1632665120.0214
IL,992363840.1229
PA,939560154.1002
NJ,856468150.0138
OH,753229104.0527
MA,711218448.0113
WA,705256566.0318
VA,688599126.0676
GA,658718362.0401
NC,655796922.0368
MI,652134304.0533
MD,516527414.0264
CO,491333234.023
AZ,464193528.0129
MN,453679510.0629
TN,421087076.0397
WI,411484512.0426
IN,408032496.044
MO,380618038.0924
CT,368159694.0066
SC,303096590.0237
OR,298757696.0275
AL,264259466.0475
LA,254009784.0382
KY,235911902.0717
NV,223395046.0061
OK,215009002.0602
UT,214266890.0151
IA,202980278.0977
KS,192996114.065
AR,155502996.0567
MS,135145028.0331
NE,129916330.0546
NH,122249848.013
NM,112866906.0229
ID,111143430.0212
HI,100663320.0008
ME,88122632.034
WV,87025332.0769
RI,79793104.0023
DC,76414512.0004
DE,70671410.0022
MT,69798958.0283
SD,59383710.0331
ND,57622025.0481
AK,53387284.0031
WY,48421544.0137
VT,45741752.0252
